,Unnamed: 0,Tipi,Net Metrekare,Oda Sayısı,Binanın Yaşı,Bulunduğu Kat,Binanın Kat Sayısı,Isıtma Tipi,Eşya Durumu,Tapu Durumu,Site İçerisinde,Banyo Sayısı,Price,Balkon Sayısı,Balkon Tipi,WC Sayısı,İlandan sonra Geçen Gün,İlçe,Mahalle
1181,1181,Daire,40,1,5,Yüksek Giriş,3,Kombi Doğalgaz,Eşyalı,Bilinmiyor,Hayır,1,10000,0,Yok,1,95, Pamukkale,Kınıklı Mahallesi
1182,1182,Daire,104,5,5,6.Kat,16,Merkezi (Pay Ölçer),Eşyalı,Bilinmiyor,Evet,1,30000,0,Yok,1,37, Merkezefendi,Selçuk Bey Mahallesi
1183,1183,Daire,55,1,0,2.Kat,2,Kombi Doğalgaz,Boş,Bilinmiyor,Hayır,1,13500,0,Yok,1,14, Merkezefendi,Bahçelievler Mahallesi
1184,1184,Daire,115,3,5,1.Kat,4,Kombi Doğalgaz,Boş,Bilinmiyor,Hayır,1,23000,0,Yok,1,95, Merkezefendi,Çakmak Mahallesi
1185,1185,Daire,35,1,2,Bahçe Katı,3,Yerden Isıtma,Eşyalı,Bilinmiyor,Hayır,1,8250,0,Yok,1,95, Pamukkale,Zeytinköy Mahallesi
1186,1186,Daire,45,1,4,3.Kat,4,Yerden Isıtma,Eşyalı,Bilinmiyor,Hayır,1,14500,0,Yok,1,95, Pamukkale,Zeytinköy Mahallesi
1187,1187,Daire,65,3,5,Bahçe Katı,4,Kombi Doğalgaz,Eşyalı,Bilinmiyor,Hayır,1,15000,0,Yok,1,95, Pamukkale,Asmalıevler Mahallesi
1188,1188,Daire,70,1,4,3.Kat,5,Merkezi Doğalgaz,Eşyalı,Bilinmiyor,Hayır,1,16750,0,Yok,1,95, Pamukkale,Fatih Mahallesi
1189,1189,Daire,170,8,3,3.Kat,7,Kombi Doğalgaz,Boş,Bilinmiyor,Hayır,1,15000,0,Yok,1,0, Merkezefendi,Altıntop Mahallesi
1190,1190,Daire,60,3,11,Düz Giriş (Zemin),5,Kombi Doğalgaz,Eşyalı,Kat Mülkiyeti,Hayır,1,12000,0,Yok,1,95, Pamukkale,Kınıklı Mahallesi
1191,1191,Daire,151,6,16,1.Kat,4,Kombi Doğalgaz,Boş,Bilinmiyor,Hayır,2,18000,0,Yok,1,28, Pamukkale,Kervansaray Mahallesi
1192,1192,Daire,160,6,11,4.Kat,5,Kombi Doğalgaz,Boş,Bilinmiyor,Hayır,1,15000,0,Yok,1,42, Merkezefendi,Adalet Mahallesi
1193,1193,Daire,45,1,4,2.Kat,3,Yerden Isıtma,Eşyalı,Bilinmiyor,Hayır,1,11000,0,Yok,1,37, Pamukkale,Mehmetçik Mahallesi
1194,1194,Daire,35,1,0,2.Kat,4,Yerden Isıtma,Eşyalı,Bilinmiyor,Hayır,1,16000,0,Yok,1,37, Pamukkale,Kınıklı Mahallesi
1195,1195,Daire,45,1,5,2.Kat,4,Kombi Doğalgaz,Boş,Bilinmiyor,Hayır,1,10000,0,Yok,1,24, Pamukkale,Asmalıevler Mahallesi
1196,1196,Daire,45,1,5,4.Kat,5,Kombi Doğalgaz,Boş,Bilinmiyor,Hayır,1,8500,0,Yok,1,24, Pamukkale,Kınıklı Mahallesi
1197,1197,Daire,85,3,5,Çatı Katı,4,Kombi Doğalgaz,Boş,Bilinmiyor,Hayır,1,9000,0,Yok,1,24, Pamukkale,İncilipınar Mahallesi
1198,1198,Daire,110,3,0,2.Kat,2,Kombi Doğalgaz,Boş,Bilinmiyor,Hayır,1,15000,1,Kapalı Balkon,1,35, Pamukkale,Dokuzkavaklar Mahallesi
